timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1567591658787,114,TwentyKBFile,200,OK,Users 1-854,text,true,,20766,127,1003,1003,http://127.0.0.1:8080/20kbyte.html,114,0,4
1567591658788,113,TwentyKBFile,200,OK,Users 1-855,text,true,,20766,127,1003,1003,http://127.0.0.1:8080/20kbyte.html,113,0,3
1567591658791,130,TwentyKBFile,200,OK,Users 1-859,text,true,,20766,127,1018,1018,http://127.0.0.1:8080/20kbyte.html,130,0,1
1567591658789,167,TwentyKBFile,200,OK,Users 1-857,text,true,,20766,127,1067,1067,http://127.0.0.1:8080/20kbyte.html,167,0,2
1567591658789,169,TwentyKBFile,200,OK,Users 1-858,text,true,,20766,127,1070,1070,http://127.0.0.1:8080/20kbyte.html,169,0,2
1567591658791,168,TwentyKBFile,200,OK,Users 1-860,text,true,,20766,127,1072,1072,http://127.0.0.1:8080/20kbyte.html,168,0,1
1567591658498,461,TwentyKBFile,200,OK,Users 1-513,text,true,,20766,127,1073,1073,http://127.0.0.1:8080/20kbyte.html,461,0,292
1567591658788,171,TwentyKBFile,200,OK,Users 1-856,text,true,,20766,127,1074,1074,http://127.0.0.1:8080/20kbyte.html,171,0,3
1567591658791,180,TwentyKBFile,200,OK,Users 1-862,text,true,,20766,127,1088,1088,http://127.0.0.1:8080/20kbyte.html,180,0,1
1567591658327,644,TwentyKBFile,200,OK,Users 1-453,text,true,,20766,127,1088,1088,http://127.0.0.1:8080/20kbyte.html,644,0,464
1567591658786,185,TwentyKBFile,200,OK,Users 1-852,text,true,,20766,127,1088,1088,http://127.0.0.1:8080/20kbyte.html,185,0,6
1567591658785,253,TwentyKBFile,200,OK,Users 1-851,text,true,,20766,127,1084,1084,http://127.0.0.1:8080/20kbyte.html,253,0,7
1567591658785,253,TwentyKBFile,200,OK,Users 1-850,text,true,,20766,127,1084,1084,http://127.0.0.1:8080/20kbyte.html,253,0,7
1567591658791,247,TwentyKBFile,200,OK,Users 1-861,text,true,,20766,127,1084,1084,http://127.0.0.1:8080/20kbyte.html,247,0,1
1567591658787,252,TwentyKBFile,200,OK,Users 1-853,text,true,,20766,127,1082,1082,http://127.0.0.1:8080/20kbyte.html,252,0,4
1567591658783,257,TwentyKBFile,200,OK,Users 1-848,text,true,,20766,127,1079,1079,http://127.0.0.1:8080/20kbyte.html,257,0,9
1567591658782,263,TwentyKBFile,200,OK,Users 1-847,text,true,,20766,127,1083,1083,http://127.0.0.1:8080/20kbyte.html,263,0,10
1567591658121,950,TwentyKBFile,200,OK,Users 1-316,text,true,,20766,127,1061,1061,http://127.0.0.1:8080/20kbyte.html,950,0,673
