timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1567592275567,744,500ByteFile,200,OK,Users 1-295,text,true,,777,123,537,537,http://127.0.0.1:8080/50x.html,744,0,335
1567592275482,829,500ByteFile,200,OK,Users 1-216,text,true,,777,123,536,536,http://127.0.0.1:8080/50x.html,829,0,421
1567592275441,870,500ByteFile,200,OK,Users 1-160,text,true,,777,123,537,537,http://127.0.0.1:8080/50x.html,870,0,461
1567592275893,418,500ByteFile,200,OK,Users 1-546,text,true,,777,123,536,536,http://127.0.0.1:8080/50x.html,418,0,10
1567592275434,877,500ByteFile,200,OK,Users 1-112,text,true,,777,123,537,537,http://127.0.0.1:8080/50x.html,877,0,469
1567592275899,412,500ByteFile,200,OK,Users 1-551,text,true,,777,123,536,536,http://127.0.0.1:8080/50x.html,412,0,3
1567592275894,417,500ByteFile,200,OK,Users 1-547,text,true,,777,123,536,536,http://127.0.0.1:8080/50x.html,417,0,8
1567592275899,412,500ByteFile,200,OK,Users 1-550,text,true,,777,123,536,536,http://127.0.0.1:8080/50x.html,412,0,3
1567592275897,414,500ByteFile,200,OK,Users 1-549,text,true,,777,123,536,536,http://127.0.0.1:8080/50x.html,414,0,6
1567592275895,418,500ByteFile,200,OK,Users 1-548,text,true,,777,123,537,537,http://127.0.0.1:8080/50x.html,418,0,8
1567592275478,860,500ByteFile,200,OK,Users 1-140,text,true,,777,123,535,535,http://127.0.0.1:8080/50x.html,860,0,425
1567592275557,781,500ByteFile,200,OK,Users 1-273,text,true,,777,123,535,535,http://127.0.0.1:8080/50x.html,781,0,346
1567592275442,897,500ByteFile,200,OK,Users 1-162,text,true,,777,123,535,535,http://127.0.0.1:8080/50x.html,897,0,461
1567592275435,903,500ByteFile,200,OK,Users 1-149,text,true,,777,123,535,535,http://127.0.0.1:8080/50x.html,903,0,468
1567592275432,946,500ByteFile,200,OK,Users 1-144,text,true,,777,123,589,589,http://127.0.0.1:8080/50x.html,946,0,471
1567592275494,884,500ByteFile,200,OK,Users 1-242,text,true,,777,123,589,589,http://127.0.0.1:8080/50x.html,884,0,410
