timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1567591420408,2,HTTP Request,200,OK,Thread Group 1-1,text,true,,179,115,7,7,http://localhost:8080/,2,0,0
1567591420408,2,HTTP Request,200,OK,Thread Group 1-2,text,true,,179,115,6,6,http://localhost:8080/,2,0,0
1567591420408,4,HTTP Request,200,OK,Thread Group 1-3,text,true,,179,115,6,6,http://localhost:8080/,4,0,1
1567591420409,3,HTTP Request,200,OK,Thread Group 1-5,text,true,,179,115,6,6,http://localhost:8080/,3,0,1
1567591420410,3,HTTP Request,200,OK,Thread Group 1-6,text,true,,179,115,5,5,http://localhost:8080/,3,0,0
1567591420409,4,HTTP Request,200,OK,Thread Group 1-4,text,true,,179,115,4,4,http://localhost:8080/,4,0,1
1567591420410,4,HTTP Request,200,OK,Thread Group 1-7,text,true,,179,115,5,5,http://localhost:8080/,4,0,0
1567591420413,2,HTTP Request,200,OK,Thread Group 1-9,text,true,,179,115,7,7,http://localhost:8080/,2,0,0
1567591420413,3,HTTP Request,200,OK,Thread Group 1-8,text,true,,179,115,6,6,http://localhost:8080/,3,0,0
1567591420414,2,HTTP Request,200,OK,Thread Group 1-10,text,true,,179,115,5,5,http://localhost:8080/,2,0,0
1567591420414,3,HTTP Request,200,OK,Thread Group 1-11,text,true,,179,115,4,4,http://localhost:8080/,3,0,0
1567591420415,3,HTTP Request,200,OK,Thread Group 1-12,text,true,,179,115,4,4,http://localhost:8080/,3,0,0
1567591420415,3,HTTP Request,200,OK,Thread Group 1-13,text,true,,179,115,3,3,http://localhost:8080/,3,0,0
1567591420415,4,HTTP Request,200,OK,Thread Group 1-14,text,true,,179,115,2,2,http://localhost:8080/,4,0,1
1567591420417,2,HTTP Request,200,OK,Thread Group 1-15,text,true,,179,115,1,1,http://localhost:8080/,2,0,1
1567591420421,1,HTTP Request,200,OK,Thread Group 1-17,text,true,,179,115,5,5,http://localhost:8080/,1,0,0
1567591420421,1,HTTP Request,200,OK,Thread Group 1-16,text,true,,179,115,4,4,http://localhost:8080/,1,0,0
1567591420421,2,HTTP Request,200,OK,Thread Group 1-18,text,true,,179,115,5,5,http://localhost:8080/,2,0,0
1567591420421,3,HTTP Request,200,OK,Thread Group 1-19,text,true,,179,115,6,6,http://localhost:8080/,3,0,0
1567591420421,5,HTTP Request,200,OK,Thread Group 1-20,text,true,,179,115,8,8,http://localhost:8080/,5,0,1
1567591420423,3,HTTP Request,200,OK,Thread Group 1-21,text,true,,179,115,7,7,http://localhost:8080/,3,0,1
1567591420424,3,HTTP Request,200,OK,Thread Group 1-22,text,true,,179,115,6,6,http://localhost:8080/,3,0,0
1567591420424,3,HTTP Request,200,OK,Thread Group 1-24,text,true,,179,115,5,5,http://localhost:8080/,3,0,0
1567591420424,4,HTTP Request,200,OK,Thread Group 1-23,text,true,,179,115,4,4,http://localhost:8080/,4,0,0
1567591420425,3,HTTP Request,200,OK,Thread Group 1-25,text,true,,179,115,3,3,http://localhost:8080/,3,0,0
1567591420425,5,HTTP Request,200,OK,Thread Group 1-26,text,true,,179,115,4,4,http://localhost:8080/,5,0,0
1567591420425,6,HTTP Request,200,OK,Thread Group 1-27,text,true,,179,115,4,4,http://localhost:8080/,6,0,0
1567591420430,2,HTTP Request,200,OK,Thread Group 1-28,text,true,,179,115,7,7,http://localhost:8080/,2,0,0
1567591420430,3,HTTP Request,200,OK,Thread Group 1-29,text,true,,179,115,6,6,http://localhost:8080/,3,0,0
1567591420431,2,HTTP Request,200,OK,Thread Group 1-30,text,true,,179,115,6,6,http://localhost:8080/,2,0,0
1567591420431,3,HTTP Request,200,OK,Thread Group 1-31,text,true,,179,115,5,5,http://localhost:8080/,3,0,0
1567591420432,3,HTTP Request,200,OK,Thread Group 1-32,text,true,,179,115,4,4,http://localhost:8080/,3,0,0
1567591420432,4,HTTP Request,200,OK,Thread Group 1-33,text,true,,179,115,3,3,http://localhost:8080/,4,0,0
1567591420432,4,HTTP Request,200,OK,Thread Group 1-34,text,true,,179,115,2,2,http://localhost:8080/,4,0,0
1567591420433,4,HTTP Request,200,OK,Thread Group 1-35,text,true,,179,115,2,2,http://localhost:8080/,4,0,0
1567591420437,1,HTTP Request,200,OK,Thread Group 1-36,text,true,,179,115,5,5,http://localhost:8080/,1,0,0
1567591420437,2,HTTP Request,200,OK,Thread Group 1-37,text,true,,179,115,6,6,http://localhost:8080/,2,0,0
1567591420438,3,HTTP Request,200,OK,Thread Group 1-38,text,true,,179,115,10,10,http://localhost:8080/,3,0,0
1567591420438,4,HTTP Request,200,OK,Thread Group 1-39,text,true,,179,115,9,9,http://localhost:8080/,4,0,0
1567591420438,4,HTTP Request,200,OK,Thread Group 1-40,text,true,,179,115,8,8,http://localhost:8080/,4,0,0
1567591420439,3,HTTP Request,200,OK,Thread Group 1-41,text,true,,179,115,7,7,http://localhost:8080/,3,0,0
1567591420439,4,HTTP Request,200,OK,Thread Group 1-42,text,true,,179,115,6,6,http://localhost:8080/,4,0,0
1567591420440,4,HTTP Request,200,OK,Thread Group 1-43,text,true,,179,115,6,6,http://localhost:8080/,4,0,0
1567591420440,4,HTTP Request,200,OK,Thread Group 1-44,text,true,,179,115,5,5,http://localhost:8080/,4,0,0
1567591420440,4,HTTP Request,200,OK,Thread Group 1-45,text,true,,179,115,4,4,http://localhost:8080/,4,0,0
1567591420441,4,HTTP Request,200,OK,Thread Group 1-47,text,true,,179,115,5,5,http://localhost:8080/,4,0,0
1567591420441,4,HTTP Request,200,OK,Thread Group 1-46,text,true,,179,115,4,4,http://localhost:8080/,4,0,0
1567591420444,3,HTTP Request,200,OK,Thread Group 1-48,text,true,,179,115,4,4,http://localhost:8080/,3,0,0
1567591420445,2,HTTP Request,200,OK,Thread Group 1-49,text,true,,179,115,3,3,http://localhost:8080/,2,0,0
1567591420445,2,HTTP Request,200,OK,Thread Group 1-50,text,true,,179,115,2,2,http://localhost:8080/,2,0,1
1567591420446,2,HTTP Request,200,OK,Thread Group 1-51,text,true,,179,115,1,1,http://localhost:8080/,2,0,0
1567591420449,1,HTTP Request,200,OK,Thread Group 1-52,text,true,,179,115,4,4,http://localhost:8080/,1,0,0
1567591420449,2,HTTP Request,200,OK,Thread Group 1-53,text,true,,179,115,3,3,http://localhost:8080/,2,0,0
1567591420450,1,HTTP Request,200,OK,Thread Group 1-55,text,true,,179,115,2,2,http://localhost:8080/,1,0,0
1567591420450,2,HTTP Request,200,OK,Thread Group 1-54,text,true,,179,115,4,4,http://localhost:8080/,2,0,0
1567591420452,1,HTTP Request,200,OK,Thread Group 1-56,text,true,,179,115,8,8,http://localhost:8080/,1,0,0
1567591420452,2,HTTP Request,200,OK,Thread Group 1-57,text,true,,179,115,9,9,http://localhost:8080/,2,0,0
1567591420452,2,HTTP Request,200,OK,Thread Group 1-58,text,true,,179,115,8,8,http://localhost:8080/,2,0,0
1567591420452,3,HTTP Request,200,OK,Thread Group 1-59,text,true,,179,115,7,7,http://localhost:8080/,3,0,0
